id,title,salary,job_score,company,location,job_requirements,about_us,company_video,company_logo
1,Software Engineer,"$160,000",4.6,Google,"Manassas, VA","['Bachelor’s degree in Computer Science or a related field', 'Proficiency in at least one programming language (e.g., Python, Java, C++)', 'Experience with software development and debugging', 'Strong problem-solving and analytical skills', 'Familiarity with cloud computing technologies', 'Ability to work collaboratively in a team environment', 'Excellent communication skills']","Google is a global leader in technology, known for its innovation, collaboration, and commitment to excellence. With a culture that fosters creativity and problem-solving, Google empowers employees to push boundaries in AI, cloud computing, and beyond. Dedicated to making information accessible and useful, Google drives advancements that impact billions worldwide. It prioritizes diversity, sustainability, and ethical AI while offering a dynamic environment for career growth. At Google, bold ideas shape the future of technology.",https://www.youtube.com/watch?v=tdjMc4CLYY4&ab_channel=Google,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
2,Software Developer,"$161,000",4.0,Microsoft,Remote,"['Associate’s or Bachelor’s degree in IT or related field', 'Experience in troubleshooting software and hardware issues', 'Strong analytical and problem-solving skills', 'Familiarity with ticketing systems and IT support tools', 'Ability to communicate technical concepts to non-technical users', 'Basic knowledge of networking principles', 'Customer service experience is a plus']","Microsoft is at the forefront of digital transformation, offering cutting-edge solutions in cloud computing, artificial intelligence, and enterprise software. With a strong emphasis on innovation, diversity, and collaboration, Microsoft provides an inclusive work environment where employees thrive. The company is dedicated to empowering individuals and businesses worldwide through technology that enhances productivity and creativity. At Microsoft, employees contribute to groundbreaking advancements that shape the future of computing.",https://www.youtube.com/watch?v=w3XqUJGxO60&ab_channel=Microsoft,https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg
3,Backend Engineer,"$95,000.00",3.9,Amazon,"Cary, NC","['Bachelor’s degree in Computer Science, Software Engineering, or a related field', 'Proficiency in C# and .NET framework', 'Experience with database management (SQL Server, MySQL)', 'Understanding of object-oriented programming principles', 'Experience in developing enterprise-level applications', 'Ability to work independently and as part of a team', 'Strong debugging and troubleshooting skills']","Amazon is a global leader in e-commerce, cloud computing, and artificial intelligence, pioneering innovations that enhance customer experiences. With a customer-centric philosophy, Amazon fosters a dynamic and fast-paced environment where employees work on cutting-edge solutions. From AWS to Alexa, Amazon continues to shape the digital world, driving advancements in AI, logistics, and sustainability. Employees at Amazon are encouraged to think big and innovate fearlessly.",https://www.youtube.com/watch?v=WS6Ien9YUiI&ab_channel=amazon,https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg
4,Frontend Engineer,"$192,000",4.7,Apple,"Los Angeles, CA","['Bachelor’s degree in Software Engineering or a related field', 'Experience with full-stack development (React, Node.js, MongoDB)', 'Understanding of RESTful APIs and microservices architecture', 'Proficiency in JavaScript, TypeScript, or similar languages', 'Familiarity with agile development methodologies', 'Experience with version control systems (Git, GitHub)', 'Ability to work in a fast-paced environment']","Apple is a trailblazer in technology and design, creating revolutionary products that transform the way people live and work. With a focus on innovation, privacy, and user experience, Apple develops groundbreaking hardware and software solutions. The company values creativity, collaboration, and excellence, offering employees opportunities to work on projects that impact millions worldwide. At Apple, every detail matters, and every product is designed to enrich lives.",https://www.youtube.com/watch?v=BPqir3EZolw&ab_channel=Apple,https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg
5,Full Stack Developer,"$85,000.00",3.1,Meta,"Seguin, TX","['Bachelor’s or Master’s degree in Artificial Intelligence, Machine Learning, or Computer Science', 'Experience with TensorFlow, PyTorch, or other ML frameworks', 'Strong knowledge of data preprocessing and feature engineering', 'Ability to design and train deep learning models', 'Experience in deploying AI models to production', 'Understanding of cloud-based AI solutions', 'Excellent mathematical and statistical skills']","Meta is leading the charge in social connectivity and the metaverse, shaping the future of communication. With a commitment to innovation, privacy, and digital inclusivity, Meta empowers employees to build next-generation experiences. From virtual reality to AI-driven social media solutions, Meta fosters a collaborative and dynamic environment. Employees at Meta contribute to products that bring people closer together and redefine digital interactions.",https://www.youtube.com/watch?v=pjNI9K1D_xo&ab_channel=Meta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Meta-Logo.png/1200px-Meta-Logo.png
6,Systems Engineer,"$130,000",3.9,Netflix,"New York, NY","['Bachelor’s degree in Computer Science or a related field', 'Proficiency in at least one programming language (e.g., Python, Java, C++)', 'Experience with software development and debugging', 'Strong problem-solving and analytical skills', 'Familiarity with cloud computing technologies', 'Ability to work collaboratively in a team environment', 'Excellent communication skills']","Netflix is a global entertainment company revolutionizing the way people enjoy content. With a focus on innovation in streaming technology and original programming, Netflix fosters a culture of creativity and experimentation. Employees work on groundbreaking AI-driven recommendation systems, cloud infrastructure, and award-winning productions. At Netflix, freedom and responsibility drive excellence in a fast-paced, collaborative environment.",https://www.youtube.com/watch?v=pMZPTnWpaWk&ab_channel=Netflix,https://upload.wikimedia.org/wikipedia/commons/7/75/Netflix_icon.svg
7,Product Engineer,"$7,700,000.00",3.3,Tesla,"Alpharetta, GA","['Associate’s or Bachelor’s degree in IT or related field', 'Experience in troubleshooting software and hardware issues', 'Strong analytical and problem-solving skills', 'Familiarity with ticketing systems and IT support tools', 'Ability to communicate technical concepts to non-technical users', 'Basic knowledge of networking principles', 'Customer service experience is a plus']","Tesla is redefining the future of transportation and energy with electric vehicles, renewable energy solutions, and autonomous driving technology. The company thrives on innovation, sustainability, and disruptive thinking, pushing boundaries in AI, robotics, and clean energy. At Tesla, employees contribute to pioneering advancements that accelerate the world's transition to sustainable energy.",https://www.youtube.com/watch?v=azUbCdcAeFM&ab_channel=Tesla,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tesla_Motors.svg
8,ML Engineer II,"$17,000,000",4.2,IBM,"Farmington Hills, MI","['Bachelor’s degree in Computer Science, Software Engineering, or a related field', 'Proficiency in C# and .NET framework', 'Experience with database management (SQL Server, MySQL)', 'Understanding of object-oriented programming principles', 'Experience in developing enterprise-level applications', 'Ability to work independently and as part of a team', 'Strong debugging and troubleshooting skills']","IBM is a global leader in AI, cloud computing, and enterprise solutions, driving technological advancements for businesses worldwide. With a legacy of innovation spanning decades, IBM empowers employees to shape the future of computing, blockchain, and quantum computing. The company values collaboration, research, and diversity, creating an environment where bold ideas become reality.",https://www.youtube.com/watch?v=No7VxEoyab8&ab_channel=IBM,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
9,Data Engineer,"$94,000.00",3.3,Tesla,"Boston, MA","['Bachelor’s degree in Software Engineering or a related field', 'Experience with full-stack development (React, Node.js, MongoDB)', 'Understanding of RESTful APIs and microservices architecture', 'Proficiency in JavaScript, TypeScript, or similar languages', 'Familiarity with agile development methodologies', 'Experience with version control systems (Git, GitHub)', 'Ability to work in a fast-paced environment']","Intel is a pioneer in semiconductor technology, powering the world's computing and data infrastructure. With a strong commitment to research and development, Intel advances AI, cloud computing, and next-generation chip designs. The company fosters a culture of innovation, providing employees with opportunities to shape the future of computing and connectivity.",https://www.youtube.com/watch?v=azUbCdcAeFM&ab_channel=Tesla,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tesla_Motors.svg
10,AI Engineer II,"$100,000",4.2,Oracle,Remote,"['Bachelor’s or Master’s degree in Artificial Intelligence, Machine Learning, or Computer Science', 'Experience with TensorFlow, PyTorch, or other ML frameworks', 'Strong knowledge of data preprocessing and feature engineering', 'Ability to design and train deep learning models', 'Experience in deploying AI models to production', 'Understanding of cloud-based AI solutions', 'Excellent mathematical and statistical skills']","Oracle is a global leader in database technology, cloud computing, and enterprise software solutions. With a commitment to innovation and security, Oracle enables businesses to scale and optimize operations with cutting-edge technology. Employees at Oracle contribute to industry-leading advancements in data management, AI, and cloud services, making an impact on businesses worldwide.",https://www.youtube.com/watch?v=H0Y0oTHXvu0&ab_channel=Oracle,https://upload.wikimedia.org/wikipedia/commons/5/50/Oracle_logo.svg
11,Software Engineer,"$90,000.00",4.3,Google,"San Francisco, CA","['Bachelor’s degree in Computer Science or a related field', 'Proficiency in at least one programming language (e.g., Python, Java, C++)', 'Experience with software development and debugging', 'Strong problem-solving and analytical skills', 'Familiarity with cloud computing technologies', 'Ability to work collaboratively in a team environment', 'Excellent communication skills']","Google is a global leader in technology, known for its innovation, collaboration, and commitment to excellence. With a culture that fosters creativity and problem-solving, Google empowers employees to push boundaries in AI, cloud computing, and beyond. Dedicated to making information accessible and useful, Google drives advancements that impact billions worldwide. It prioritizes diversity, sustainability, and ethical AI while offering a dynamic environment for career growth. At Google, bold ideas shape the future of technology.",https://www.youtube.com/watch?v=tdjMc4CLYY4&ab_channel=Google,https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg
12,Software Developer,"$154,000.00",3.8,Microsoft,Remote,"['Associate’s or Bachelor’s degree in IT or related field', 'Experience in troubleshooting software and hardware issues', 'Strong analytical and problem-solving skills', 'Familiarity with ticketing systems and IT support tools', 'Ability to communicate technical concepts to non-technical users', 'Basic knowledge of networking principles', 'Customer service experience is a plus']","Microsoft is at the forefront of digital transformation, offering cutting-edge solutions in cloud computing, artificial intelligence, and enterprise software. With a strong emphasis on innovation, diversity, and collaboration, Microsoft provides an inclusive work environment where employees thrive. The company is dedicated to empowering individuals and businesses worldwide through technology that enhances productivity and creativity. At Microsoft, employees contribute to groundbreaking advancements that shape the future of computing.",https://www.youtube.com/watch?v=w3XqUJGxO60&ab_channel=Microsoft,https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg
13,Backend Engineer,"$91,000.00",4.1,Amazon,"Aguadilla, PR","['Bachelor’s degree in Computer Science, Software Engineering, or a related field', 'Proficiency in C# and .NET framework', 'Experience with database management (SQL Server, MySQL)', 'Understanding of object-oriented programming principles', 'Experience in developing enterprise-level applications', 'Ability to work independently and as part of a team', 'Strong debugging and troubleshooting skills']","Amazon is a global leader in e-commerce, cloud computing, and artificial intelligence, pioneering innovations that enhance customer experiences. With a customer-centric philosophy, Amazon fosters a dynamic and fast-paced environment where employees work on cutting-edge solutions. From AWS to Alexa, Amazon continues to shape the digital world, driving advancements in AI, logistics, and sustainability. Employees at Amazon are encouraged to think big and innovate fearlessly.",https://www.youtube.com/watch?v=WS6Ien9YUiI&ab_channel=amazon,https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg
14,Frontend Engineer,"$190,000.00",3.5,Apple,Minneapolis-Saint Paul,"['Bachelor’s degree in Software Engineering or a related field', 'Experience with full-stack development (React, Node.js, MongoDB)', 'Understanding of RESTful APIs and microservices architecture', 'Proficiency in JavaScript, TypeScript, or similar languages', 'Familiarity with agile development methodologies', 'Experience with version control systems (Git, GitHub)', 'Ability to work in a fast-paced environment']","Apple is a trailblazer in technology and design, creating revolutionary products that transform the way people live and work. With a focus on innovation, privacy, and user experience, Apple develops groundbreaking hardware and software solutions. The company values creativity, collaboration, and excellence, offering employees opportunities to work on projects that impact millions worldwide. At Apple, every detail matters, and every product is designed to enrich lives.",https://www.youtube.com/watch?v=BPqir3EZolw&ab_channel=Apple,https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg
15,Software Engineer,"$140,000.00",3.9,Netflix,"Los Gatos, CA","['Bachelor’s or Master’s degree in Computer Science, Software Engineering, or related field', '5+ years of experience in software development', 'Proficiency in C++, Python, or Java', 'Experience with cloud computing platforms (AWS, Azure, or Google Cloud)', 'Strong understanding of microservices architecture and API development', 'Ability to work in a fast-paced, collaborative environment']","Netflix is a global entertainment company known for pioneering the streaming industry. We provide an innovative platform where creativity meets technology, enabling millions of users to enjoy original and licensed content. At Netflix, we empower engineers to build scalable systems that push the boundaries of what’s possible in the entertainment industry.",https://www.youtube.com/watch?v=pMZPTnWpaWk,https://upload.wikimedia.org/wikipedia/commons/7/75/Netflix_icon.svg
16,Senior Backend Engineer,"$120,000.00",4.2,Oracle,"Austin, TX","[""Bachelor's or Master's degree in Computer Science, Software Engineering, or related field"", '5+ years of experience in backend software development', 'Strong proficiency in Java, Python, or Go', 'Experience with cloud computing platforms (Oracle Cloud, AWS, or Azure)', 'Expertise in database management systems (Oracle DB, PostgreSQL, or MySQL)', 'Strong understanding of RESTful API development and microservices architecture', 'Experience working with DevOps tools (Docker, Kubernetes, CI/CD pipelines)', 'Excellent problem-solving and analytical skills']","Oracle is a world leader in database technology and enterprise software solutions. With a strong commitment to innovation, Oracle provides cloud computing infrastructure, AI-driven applications, and cybersecurity solutions to businesses worldwide. The company values collaboration, cutting-edge research, and customer success, offering employees opportunities to work on transformative technologies.",https://www.youtube.com/watch?v=H0Y0oTHXvu0,https://upload.wikimedia.org/wikipedia/commons/5/50/Oracle_logo.svg
17,Senior Cloud Solutions Architect,"$160,000.00",3.9,Amazon,"Seattle, WA","['8+ years of experience in cloud architecture, solution design, or infrastructure management', 'Expertise in AWS services (EC2, S3, Lambda, DynamoDB, IAM, etc.)', 'Strong Python, Go, or Java programming skills', 'Experience designing and implementing serverless architectures', 'Deep knowledge of microservices, Kubernetes, and container orchestration', 'Ability to optimize performance, security, and cost of cloud-based infrastructures', 'Strong communication and collaboration skills to work with engineering and product teams']","Amazon is a global leader in cloud computing, e-commerce, and artificial intelligence. With a commitment to innovation, Amazon Web Services (AWS) provides cutting-edge cloud solutions to businesses worldwide. Our engineers work on high-scale distributed systems, AI-driven infrastructure, and next-gen cloud technologies to empower businesses and developers.",https://www.youtube.com/watch?v=WS6Ien9YUiI&ab_channel=amazon,https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg
18,Software Engineer II,"$175,000.00",4.1,Microsoft,"Redmond, WA","[""Bachelor's or Master's degree in Computer Science or a related field."", '3+ years of experience in software development.', 'Proficiency in Python, C++, or Java.', 'Experience with Azure cloud services and distributed systems.', 'Strong problem-solving and debugging skills.']","Microsoft is a leader in cloud computing, AI, and enterprise solutions. We are committed to empowering every individual and organization to achieve more through cutting-edge technology.",https://www.youtube.com/watch?v=w3XqUJGxO60&ab_channel=Microsoft,https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg
19,Software Engineer – Full Stack,"$105,000.00",3.9,Tesla,"Palo Alto, CA","['3+ years of experience in full-stack web development', 'Proficiency in Python (Flask/Django) and JavaScript (React.js)', 'Experience with RESTful APIs and cloud computing (AWS/GCP)', 'Strong understanding of database systems (PostgreSQL, MySQL)', 'Familiarity with microservices architecture', 'Strong problem-solving and debugging skills']","Tesla is accelerating the world's transition to sustainable energy. We design and manufacture electric vehicles, battery storage, and energy solutions that make a real impact on the planet.",https://www.youtube.com/watch?v=azUbCdcAeFM,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Tesla_Motors.svg/200px-Tesla_Motors.svg.png
20,Software Engineer,"$180,000.00",4.1,Meta,"Menlo Park, CA (Hybrid)","['Bachelor’s degree in Computer Science or related field.', '3+ years of experience in software development.', 'Strong knowledge of Python, Java, or JavaScript.', 'Experience with React, GraphQL, or REST APIs.', 'Ability to work in a fast-paced environment and solve complex problems.']","Meta is on a mission to build innovative technologies that bring the world closer together. We are committed to advancing the future of virtual reality (VR), augmented reality (AR), and the metaverse.",https://www.youtube.com/watch?v=pjNI9K1D_xo&ab_channel=Meta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Meta-Logo.png/1200px-Meta-Logo.png
21,Backend Engineer,"$210,000",4.5,Amazon,"Seattle, WA","['3+ years of software development experience.', 'Proficiency in Python, Java, or C++.', 'Experience with distributed systems and cloud services (AWS).', 'Strong problem-solving and analytical skills.', 'Ability to work in a fast-paced, agile environment.']","Amazon is one of the world’s leading technology companies, dedicated to customer satisfaction through innovation. Our Seattle-based development team is building the next generation of scalable, high-performance services.",https://www.youtube.com/watch?v=WS6Ien9YUiI,https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg
22,Data Scientist II,"$120,000",3.0,IBM,"New York, NY","['3+ years of experience in data science, analytics, or machine learning.', 'Proficiency in Python, R, or SQL.', 'Experience with cloud platforms (IBM Cloud, AWS, Azure).', 'Strong statistical and machine learning knowledge.', 'Excellent problem-solving skills and the ability to work in a fast-paced environment.']","IBM is a global technology leader in AI, cloud computing, and enterprise solutions. Our mission is to help businesses leverage technology to drive innovation and efficiency.",https://www.youtube.com/watch?v=No7VxEoyab8,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
23,Cloud Solutions Architect,"$150,000",4.1,IBM,"Austin, TX","['5+ years of experience in cloud architecture or solutions engineering.', 'Expertise in IBM Cloud, AWS, or Azure.', 'Strong background in microservices, Kubernetes, and DevOps.', 'Proficiency in Python, Java, or Go.', 'Excellent problem-solving and communication skills.']","IBM is a global leader in cloud computing, AI, and enterprise solutions. We drive technological innovation to help businesses transform and scale efficiently.",https://www.youtube.com/watch?v=No7VxEoyab8&ab_channel=IBM,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
24,Software Engineer - Autopilot,"$150,000",3.2,Tesla,"Palo Alto, CA","['Bachelor’s or Master’s degree in Computer Science or related field', '3+ years of experience in software development (Python, C++, or Java)', 'Experience with machine learning and deep learning frameworks', 'Familiarity with ROS, perception, and sensor fusion', 'Strong problem-solving skills and ability to work in a fast-paced environment']","Tesla is accelerating the world's transition to sustainable energy through electric vehicles, energy storage, and solar energy. Join us in shaping the future of transportation.",https://www.youtube.com/watch?v=azUbCdcAeFM,https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png
25,Backend Engineer,"$215,000",4.2,Netflix,Remote,"['5+ years of experience in backend development.', 'Strong proficiency in Python, Java, or Go.', 'Experience with cloud platforms (AWS, GCP, or Azure).', 'Knowledge of SQL/NoSQL databases (PostgreSQL, DynamoDB, Redis).', 'Familiarity with microservices and containerization (Docker, Kubernetes).', 'Solid understanding of distributed systems, caching strategies, and CI/CD pipelines.']","At Netflix, we strive to entertain the world. We are pioneers in streaming entertainment, delivering award-winning TV shows, movies, and original productions to over 230 million members worldwide.",https://www.youtube.com/watch?v=pMZPTnWpaWk,https://upload.wikimedia.org/wikipedia/commons/7/75/Netflix_icon.svg
26,Cloud Engineer,"$200,000",4.0,IBM,"Los Angeles, CA","[""Bachelor's or Master’s degree in Computer Science, Engineering, or related field."", '3+ years of experience in Python, Java, or Go.', 'Experience with cloud computing (AWS, Azure, or IBM Cloud).', 'Knowledge of AI/ML frameworks (TensorFlow, PyTorch, IBM Watson).', 'Strong understanding of APIs, microservices, and containerization (Docker, Kubernetes).', 'Excellent problem-solving skills and ability to work in an Agile team.']","At IBM, we push the boundaries of technology, AI, and cloud computing to build a smarter future. Our engineers work on cutting-edge solutions in enterprise AI, hybrid cloud, and cybersecurity. If you are passionate about innovation and want to contribute to world-class products, IBM is the place for you!",https://www.youtube.com/watch?v=No7VxEoyab8&ab_channel=IBM,https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg
